Month,Time,Azimuth,Altitude
April,20:30,-57.06,-10.07
April,21:00,-50.43,-13.62
April,21:30,-43.53,-16.83
April,22:00,-36.33,-19.66
April,22:30,-28.84,-22.02
April,23:00,-21.07,-23.88
April,23:30,-13.07,-25.17
May ,0:00,-3.49,-16.83
May ,0:30,3.92,-16.82
May,1:00,11.3,-16.23
May,1:30,18.57,-15.1
May,2:00,26.86,-13.12
May,2:30,32.61,-11.3
May,3:00,39.33,-8.71
May,3:30,45.82,-5.72
May,4:00,52.11,-2.33
May,4:30,58.22,1.49
May,5:00,64.19,5.15
May,5:30,70.06,9.13
May,6:00,75.89,13.3
May,6:30,81.74,17.59
May,7:00,87.68,21.95
May,7:30,93.78,26.33
May,8:00,100.16,30.68
May,8:30,106.9,34.95
May,9:00,114.14,39.06
May,9:30,122.02,42.93
May,10:00,130.68,46.46
May,10:30,140.23,49.55
May,11:00,150.75,52.03
May,11:30,162.16,53.79
May,12:00,174.21,54.69
May,12:30,-173.51,54.66
May,13:00,-161.48,53.71
May,13:30,-150.12,51.91
May,14:00,-139.66,49.38
May,14:30,-130.15,46.27
May,15:00,-121.54,42.71
May,15:30,-113.71,38.83
May,16:00,-106.5,34.71
May,16:30,-99.78,30.43
May,17:00,-93.43,26.08
May,17:30,-87.33,21.7
May,18:00,-81.4,17.34
May,18:30,-75.56,13.05
May,19:00,-69.73,8.89
May,19:30,-63.85,4.93
May,20:00,-57.87,1.3
May,20:30,-51.75,-2.54
May,21:00,-45.45,-5.9
May,21:30,-38.94,-8.87
May,22:00,-32.22,-11.43
May,22:30,-25.28,-13.55
May,23:00,-18.15,-15.18
May,23:30,-10.87,-16.28
June,0:00,-4.34,-12.4
June,0:30,2.71,-12.46
June,1:00,9.74,-11.98
June,1:30,16.69,-10.98
June,2:00,23.52,-9.46
June,2:30,30.19,-7.47
June,3:00,36.68,-5.03
June,3:30,42.98,-2.14
June,4:00,49.1,1.25
June,4:30,55.05,4.52
June,5:00,60.88,8.17
June,5:30,66.62,12.08
June,6:00,72.32,16.17
June,6:30,78.03,20.4
June,7:00,83.83,24.73
June,7:30,89.78,29.11
June,8:00,96,33.49
June,8:30,102.59,37.82
June,9:00,109.69,42.03
June,9:30,117.48,46.05
June,10:00,126.12,49.78
June,10:30,135.81,53.1
June,11:00,146.69,55.85
June,11:30,158.75,57.86
June,12:00,171.75,58.98
June,12:30,-174.85,59.1
June,13:00,-161.7,58.21
June,13:30,-149.39,56.39
June,14:00,-138.23,53.79
June,14:30,-128.27,50.59
June,15:00,-119.4,46.95
June,15:30,-111.43,42.98
